DENV inhibitors RdRp_登革熱病毒抑制物_3738,,,
Molecule ChEMBL ID,Smiles,Standard Value,標籤小於等於10000為1；反之為0
CHEMBL1403276,c1ccc2nc(-c3ccc(N4CCOCC4)cc3)ccc2c1,3704.0,
CHEMBL1346239,O=C(c1ccccc1)c1ccc2[nH]c(-c3ccc(NC(=O)c4ccccc4F)cc3)nc2c1,112219.0,
CHEMBL1510527,CCN(CC)S(=O)(=O)c1ccc2c(c1)nc(CCC(=O)O)n2C,112219.0,
CHEMBL1588813,Cc1cccc(N(C)C(=O)c2cc3c(O)nc4ccc(C)cc4c3s2)c1,70705.0,
CHEMBL1301753,COc1ccc(OCC(=O)Nc2nc3ccccc3[nH]2)cc1,112219.0,
CHEMBL1490336,CCOc1ccc2nc(NC(=O)c3ccccn3)sc2c1,5581.0,
CHEMBL3210373,C/C(=N\NC(=O)C1(C)CC1(Br)Br)c1ccc(NC(=O)c2ccc(C)o2)cc1,112219.0,
CHEMBL1401302,N=C(NOC(=O)c1ccc(Cl)cc1)c1[nH]ncc1Br,4359.0,
CHEMBL1373766,CCOC(=O)C1=C(C)OC(N)=C(C#N)C1C1CCCCC1,112219.0,
CHEMBL3808808,COc1ccc(C(=O)O)cc1-c1ccc(C#CCO)s1,2300.0,
CHEMBL3809187,Cc1ccc(-c2cc(CC(=O)O)cc(CC(=O)O)c2)s1,96000.0,
CHEMBL2042318,Nc1nc(N)c2ccc(Oc3ccccc3)cc2n1,10000.0,
CHEMBL2042315,COc1cccc2c(N)nc(N)nc12,5400.0,
CHEMBL2042317,COc1ccc2c(N)nc(N)nc2c1,10000.0,
CHEMBL176599,O=C(O)c1cnc2c([N+](=O)[O-])cccc2c1O,14300.0,
CHEMBL599410,O=S(=O)(Nc1ccccc1)c1cc(S(=O)(=O)Nc2ccccc2)c2cc(O)ccc2c1,21110.0,
CHEMBL597781,O=C(Cn1ccc(=O)[nH]c1=O)Nc1ccc(O)c([N+](=O)[O-])c1,100000.0,
CHEMBL597358,Cc1ccccc1COc1ccc(C(=O)[C@@H]2C(=O)C(=O)N(Cc3ccncc3)[C@H]2c2cccc(O)c2)cc1,100000.0,
CHEMBL605779,Cc1ccc(Cl)cc1NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc3ccccc3c2)cc1,9280.0,
CHEMBL607576,COc1cc(CNc2ccc(C(=O)O)cc2)ccc1OCc1ccccc1Cl,100000.0,
CHEMBL597965,Cc1ccc(C23CC4CC(CC(C(=O)Nc5cccc(C(=O)O)c5)(C4)C2)C3)cc1,100000.0,
CHEMBL597776,O=C(O)CCC(=O)N1NC(c2c(O)nc3ccc(Cl)cc3c2-c2ccccc2)=C[C@@H]1c1ccc(Br)cc1,100000.0,
CHEMBL599616,O=C(O)COc1ccc(Br)cc1/C=C1\CC/C(=C\c2cc(Br)ccc2OCC(=O)O)C1=O,19500.0,
CHEMBL1794155,Cn1c(N)c(C#N)c(-c2ccccc2)c(C#N)c1=O,1742.0,
CHEMBL4848338,FC(F)(F)c1cccc(Nc2nc(NCCOc3ccccc3)nc3[nH]cnc23)c1,43700.0,
CHEMBL1940730,O=C(Cn1sc2ccccc2c1=O)Nc1cccc(OCc2cn(CC(=O)c3ccccc3)nn2)c1,6220.0,
CHEMBL2413323,Nc1ncnc2c1c1c(Cl)cccc1n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,850.0,
CHEMBL866,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,5700.0,
CHEMBL3765002,FC(F)(F)c1ccc(-c2nnc(/C=C/c3ccc(Br)s3)o2)cc1,20000.0,
CHEMBL3765453,COc1ccc(-c2nnc(/C=C/c3ccc(Br)s3)o2)cc1,,
CHEMBL3765560,Brc1ccc(-c2nnc(/C=C/c3ccc(Br)s3)o2)cc1,,
CHEMBL3765560,Brc1ccc(-c2nnc(/C=C/c3ccc(Br)s3)o2)cc1,,
CHEMBL3764002,Clc1cc(Cl)cc(-c2nnc(/C=C/c3ccc(Br)s3)o2)c1,,
CHEMBL3808396,COc1cc(C)c(C(=O)NS(C)(=O)=O)cc1-c1ccc(C#CCO)s1,50000.0,
CHEMBL3808396,COc1cc(C)c(C(=O)NS(C)(=O)=O)cc1-c1ccc(C#CCO)s1,340.0,
CHEMBL3808647,N#Cc1ccc(-c2cc(CC(=O)O)cc(CC(=O)O)c2)s1,199000.0,
CHEMBL3808995,O=C(O)Cc1cc(CC(=O)O)cc(-c2ccc(Cl)s2)c1,26000.0,
CHEMBL3426592,O=C1CC2(C(=O)Nc3ccc(Cl)cc32)c2cnn(Cc3ccc(Cl)cc3)c2N1,51.0,
CHEMBL406526,COC(=O)c1cccc2oc(-c3ccccc3O)nc12,700000.0,
CHEMBL4440832,O=C(Nc1nc2cc(O)c(O)cc2s1)c1ccccc1Oc1ccc2cc(O)ccc2c1,4200.0,
CHEMBL1330583,Cc1ccc(C(=O)O/N=C(\N)c2ccccc2)c(Cl)c1,2423.0,
CHEMBL1501708,c1ccc(-c2nc3c4ccccc4ccn3c2CN2CCCCC2)cc1,112219.0,
CHEMBL1303948,Cc1cccc(C(=N)NOC(=O)c2ccc3c(c2)OCO3)c1,1465.0,
CHEMBL1964891,COCCCn1c(=O)/c(=C\c2ccccc2OC(C)C)s/c1=C(/C#N)C(=O)Nc1ccc(C(=O)O)cc1,112219.0,
CHEMBL3190606,Cc1ccc(-c2nc(N/N=C/c3cccnc3)c3ccccc3n2)cc1,1016.0,
CHEMBL1497138,Cc1ccc(N2C(=O)CC(c3ccsc3)C3=C2CC(C)(C)CC3=O)cc1,112219.0,
CHEMBL1379363,CCCNC(=O)COC(=O)/C=C/c1ccco1,112219.0,
CHEMBL1340899,COc1ccc(-c2nc(C[S+]([O-])CC(=O)NCCc3ccc(C)cc3)c(C)o2)cc1OC,112219.0,
CHEMBL3542231,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@@H](OC)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,700.0,
